S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha,LIVE.CROWN.LEAVES,TREE.BRANCHES,TREE.BARK,TREE.STEM,FOLIAGE.BIOMASS,FOLIAGE_LEAVES
1456,Poplar,Populus tremula,32.1,44.6,5,0.42,1,P4,0.156228261,5.01492718,1413.048042,1.413048042,376.8128111,0.376812811,664.1325795,0.66413258,100.4834163,0.100483416,1.337313915,13.18708341,938.3286184,85.85642703,1709.467402,163.3006726,110.8563495
1457,Willow,Salix alba,34.6,40.4,7.6,0.47,1,P4,0.128189547,4.435358314,1398.869724,1.398869724,373.0319263,0.373031926,657.4687702,0.65746877,99.47518036,0.09947518,1.182762217,372.5019502,83.26587732,432.4480432,284.7648329,83.858923,722.6530636
1458,Beech,Fagus sylvatica,30.4,61.7,11.3,0.67,1,P4,0.298992441,9.089370219,3982.770938,3.982770938,1062.07225,1.06207225,1871.902341,1.871902341,283.2192667,0.283219267,2.423832058,189.7230609,218.8863851,356.3109191,776.8983623,22.51085101,511.9171883
1459,Poplar,Populus tremula,29.7,42.1,8.1,0.42,1,P4,0.139204756,4.13438125,1170.348808,1.170348808,312.0930155,0.312093016,550.0639399,0.55006394,83.22480415,0.083224804,1.102501667,65.40709078,88.6812917,133.9318612,778.6820228,180.8589044,194.2841768
1460,Maple,Acer saccharum,21.4,48,6.2,0.71,1,P4,0.180955737,3.872452769,1832.77837,1.83277837,488.7408986,0.488740899,861.4058338,0.861405834,130.3309063,0.130330906,1.032654072,144.0514347,250.8915073,296.9081084,564.261093,84.31254383,120.2938215
1461,Cypress,Cupressus sempervirens,29.5,62.2,4.6,0.47,1,P4,0.303857983,8.9638105,2779.762502,2.779762502,741.2700004,0.74127,1306.488376,1.306488376,197.6720001,0.197672,2.390349467,152.9047957,922.9894696,75.68727534,862.1365818,62.1014173,446.4498635
1462,Fir,Abies alba,29.8,40.7,8.3,0.42,1,P4,0.13010042,3.876992527,1099.182315,1.099182315,293.1152839,0.293115284,516.6156879,0.516615688,78.16407571,0.078164076,1.033864674,82.79253154,905.1304323,162.1700514,1375.118222,92.52780019,351.5757811
1463,Larch,Larix decidua,24.3,57,3.5,0.59,1,P4,0.255175863,6.200773478,2422.066533,2.422066533,645.8844089,0.645884409,1138.371271,1.138371271,172.2358424,0.172235842,1.653539594,372.0362783,361.7336884,381.3695806,1369.059101,26.66914026,556.9273954
1464,Locust,Robinia pseudoacacia,31,45.5,7.5,0.69,1,P4,0.162597055,5.040508698,2305.361501,2.305361501,614.7630669,0.614763067,1083.519905,1.083519905,163.9368178,0.163936818,1.344135653,495.8348031,747.515059,71.55509464,1681.271508,56.82286506,160.1224829
1465,Ash,Fraxinus excelsior,27.6,42,5.5,0.67,1,P4,0.138544236,3.823820914,1710.700375,1.710700375,456.1867667,0.456186767,804.0291763,0.804029176,121.6498045,0.121649804,1.019685577,325.0502042,581.5532571,321.3676102,1011.059243,44.19847914,715.8893324
1466,Locust,Robinia pseudoacacia,26.8,44,4.7,0.69,1,P4,0.152053084,4.075022663,1873.315645,1.873315645,499.5508388,0.499550839,880.4583534,0.880458353,133.213557,0.133213557,1.08667271,89.11012911,929.3440936,354.1516203,-156.4843609,143.8204259,231.4110533
1467,Spruce,Picea abies,23.3,40.7,3.5,0.43,1,P4,0.13010042,3.031339795,884.6020523,0.884602052,235.8938806,0.235893881,415.7629646,0.415762965,62.90503483,0.062905035,0.808357279,156.6924311,388.7926472,142.7478875,1751.19625,60.08326193,235.0550121
1468,Pine,Pinus sylvestris,23.5,63,5.1,0.45,1,P4,0.311724531,7.32552648,2187.889902,2.187889902,583.4373071,0.583437307,1028.308254,1.028308254,155.5832819,0.155583282,1.953473728,62.68407855,777.8041465,285.2279259,335.1633794,170.5383535,989.9906307
1469,Hemlock,Tsuga canadensis,24.2,50.1,5.3,0.45,1,P4,0.197135724,4.770684531,1439.585673,1.439585673,383.8895127,0.383889513,676.6052662,0.676605266,102.3705367,0.102370537,1.272182542,197.4055372,747.0979213,259.0292821,278.6718498,177.4739561,63.01751781
1470,Cherry,Prunus avium,30.1,55,5.6,0.72,1,P4,0.237582944,7.151246627,3380.963251,3.380963251,901.5902004,0.9015902,1589.052728,1.589052728,240.4240534,0.240424053,1.906999101,41.79066377,172.2226104,310.5876031,940.276552,172.1215701,595.409171
1471,Walnut,Juglans regia,25.9,40.8,3.8,0.61,1,P4,0.13074052,3.386179465,1386.392471,1.386392471,369.704659,0.369704659,651.6044615,0.651604461,98.58790907,0.098587909,0.902981191,373.7386886,151.7030107,436.9085192,-196.6154965,79.76943777,276.4280822
1472,Cypress,Cupressus sempervirens,33.4,71.2,6.7,0.47,1,P4,0.398152887,13.29830641,4085.075361,4.085075361,1089.35343,1.08935343,1919.98542,1.91998542,290.4942479,0.290494248,3.546215043,378.6442543,138.2365219,178.5043656,396.5484778,46.8540883,298.893439
1473,Beech,Fagus sylvatica,31.9,54.5,6.7,0.67,1,P4,0.233282889,7.441724175,3276.49682,3.27649682,873.7324853,0.873732485,1539.953505,1.539953505,232.9953294,0.232995329,1.98445978,20.59825499,567.1358029,24.99417763,335.4800895,17.23861677,656.0761742
1474,Cherry,Prunus avium,23.9,42.9,3.7,0.72,1,P4,0.144545463,3.454636575,1662.051844,1.662051844,443.213825,0.443213825,781.1643665,0.781164367,118.1903533,0.118190353,0.92123642,475.3027531,147.6345409,44.88218851,1420.334021,181.0102456,521.1179157
1475,Ash,Fraxinus excelsior,33,88.4,9.2,0.67,1,P4,0.613754107,20.25388554,8705.796241,8.705796241,2321.545664,2.321545664,4091.724233,4.091724233,619.0788438,0.619078844,5.401036143,25.92912868,278.8144406,135.1789068,195.0933249,143.7517112,105.5000103
1476,Cherry,Prunus avium,39.3,65,10.3,0.72,1,P4,0.331830724,13.04094745,6077.228727,6.077228727,1620.594327,1.620594327,2856.297502,2.856297502,432.1584872,0.432158487,3.477585988,288.2185038,287.4456817,393.4997814,1397.598967,139.1720127,133.2616165
1477,Spruce,Picea abies,24.9,71,8.1,0.43,1,P4,0.395919214,9.858388433,2796.579285,2.796579285,745.7544759,0.745754476,1314.392264,1.314392264,198.8678602,0.19886786,2.628903582,76.02223339,477.1579345,341.5378607,725.3947352,185.8371588,469.5884923
1478,Beech,Fagus sylvatica,21.5,59.7,5.3,0.67,1,P4,0.279922974,6.018343941,2663.335653,2.663335653,710.2228409,0.710222841,1251.767757,1.251767757,189.3927576,0.189392758,1.604891718,199.0528401,130.399799,470.7851136,-115.8000932,145.8286781,956.7459143
1479,Cypress,Cupressus sempervirens,32.5,90.5,9.8,0.47,1,P4,0.643260731,20.90597375,6352.706053,6.352706053,1694.054947,1.694054947,2985.771845,2.985771845,451.747986,0.451747986,5.574926333,135.8788501,375.4800478,144.1790184,428.4480674,100.9615222,171.5337645
1480,Beech,Fagus sylvatica,23.2,41,6.5,0.67,1,P4,0.132025431,3.062990005,1377.635842,1.377635842,367.3695578,0.367369558,647.4888456,0.647488846,97.96521541,0.097965215,0.816797335,497.7768721,943.7826778,453.121952,800.368192,71.99046967,986.1472234
1481,Cedar,Cedrus libani,30.8,67.8,8.9,0.56,1,P4,0.361034969,11.11987706,4070.356425,4.070356425,1085.42838,1.08542838,1913.06752,1.91306752,289.447568,0.289447568,2.965300548,180.5075617,490.8943012,350.8662102,485.9425182,97.70932102,956.0206573
1482,Pine,Pinus sylvestris,30.1,50.6,4.3,0.45,1,P4,0.201090204,6.052815145,1816.072517,1.816072517,484.2860046,0.484286005,853.5540831,0.853554083,129.1429346,0.129142935,1.614084039,289.4576265,880.507878,499.347483,214.5537245,29.02120657,389.2927785
1483,Fir,Abies alba,23.2,48.7,5.3,0.42,1,P4,0.186272097,4.321512651,1222.022429,1.222022429,325.8726479,0.325872648,574.3505419,0.574350542,86.89937276,0.086899373,1.152403374,136.9158052,324.7781383,221.7701956,932.3588387,118.9548865,516.6209944
1484,Pine,Pinus sylvestris,32.2,57.8,8.7,0.45,1,P4,0.26238896,8.448924513,2514.785508,2.514785508,670.6094689,0.670609469,1181.949189,1.181949189,178.8291917,0.178829192,2.253046537,220.1014786,827.1412329,332.0405675,910.8401378,57.03494954,77.39222214
1485,Cherry,Prunus avium,30.8,56,4.2,0.72,1,P4,0.246300864,7.586066612,3581.460031,3.581460031,955.0560082,0.955056008,1683.286214,1.683286214,254.6816022,0.254681602,2.022951097,451.0745973,553.0354861,97.26330999,1713.253597,16.30403575,863.198819
1486,Beech,Fagus sylvatica,29.4,42.5,7.7,0.67,1,P4,0.141862543,4.170758772,1862.028215,1.862028215,496.5408575,0.496540857,875.1532613,0.875153261,132.4108953,0.132410895,1.112202339,55.43564639,500.4526538,324.1386283,250.86097,171.4413249,68.81735598
1487,Pine,Pinus sylvestris,30.4,40,5.8,0.45,1,P4,0.125663706,3.820176667,1158.927313,1.158927313,309.0472836,0.309047284,544.6958373,0.544695837,82.41260895,0.082412609,1.018713778,479.7322361,890.4711916,472.1836765,780.6971884,147.626317,155.8824696
1488,Yew,Taxus baccata,23.8,44.1,4,0.64,1,P4,0.15274502,3.635331481,1557.148227,1.557148227,415.2395272,0.415239527,731.8596666,0.731859667,110.7305406,0.110730541,0.969421728,122.1519907,632.1908099,242.8192978,721.2443046,40.67523918,64.24762212
1489,Birch,Betula pendula,36.3,78.9,15.8,0.67,1,P4,0.48892685,17.74804466,7652.921313,7.652921313,2040.779017,2.040779017,3596.873017,3.596873017,544.2077378,0.544207738,4.732811909,376.4855845,707.123056,416.7345547,1431.977998,185.3321674,437.8766393
1490,Willow,Salix alba,33.3,57.9,5.2,0.47,1,P4,0.263297666,8.767812268,2720.424653,2.720424653,725.4465742,0.725446574,1278.599587,1.278599587,193.4524198,0.19345242,2.338083271,81.48438039,568.1544973,425.3456398,1167.356532,53.69954063,949.8544065
1491,Yew,Taxus baccata,21.5,56.4,8.9,0.64,1,P4,0.249832014,5.371388305,2279.310372,2.279310372,607.8160991,0.607816099,1071.275875,1.071275875,162.0842931,0.162084293,1.432370215,485.2963003,366.7630245,330.0322569,516.6008934,183.1480277,375.348268
1492,Redwood,Sequoia sempervirens,28.9,75.3,5.1,0.48,1,P4,0.445327827,12.86997421,4038.746549,4.038746549,1076.99908,1.07699908,1898.210878,1.898210878,287.1997546,0.287199755,3.431993122,269.5623799,414.0364232,198.7179695,307.9657474,56.38723523,353.4455362
1493,Magnolia,Magnolia grandiflora,24.4,47,10,0.6,1,P4,0.173494454,4.233264685,1696.360588,1.696360588,452.3628234,0.452362823,797.2894763,0.797289476,120.6300862,0.120630086,1.128870583,34.93630813,768.7271689,302.8905971,85.69055092,95.11969898,505.115635
1494,Yew,Taxus baccata,46.3,70.8,13.5,0.64,1,P4,0.393691825,18.2279315,7511.361868,7.511361868,2003.029831,2.003029831,3530.340078,3.530340078,534.1412884,0.534141288,4.860781732,423.0670996,945.9436972,225.4217267,506.0487345,172.1600807,244.7697089
1495,Birch,Betula pendula,23.8,66,9.8,0.67,1,P4,0.34211944,8.142442671,3577.280078,3.577280078,953.9413541,0.953941354,1681.321637,1.681321637,254.3843611,0.254384361,2.171318046,327.1048425,846.9526517,337.8637118,596.4598653,129.7860005,761.1562764
1496,Hemlock,Tsuga canadensis,22.6,56.4,3.2,0.45,1,P4,0.249832014,5.646203521,1696.903421,1.696903421,452.507579,0.452507579,797.5446079,0.797544608,120.6686877,0.120668688,1.505654272,350.1857044,329.0758872,367.7834024,1600.451566,148.3415274,599.1029663
1497,Maple,Acer saccharum,31.8,50.6,6.7,0.71,1,P4,0.201090204,6.394668492,2990.294008,2.990294008,797.4117354,0.797411735,1405.438184,1.405438184,212.6431294,0.212643129,1.705244931,140.2054846,649.9953947,69.60021153,1503.757452,96.73977266,568.8225108
1498,Spruce,Picea abies,25,63.7,8.7,0.43,1,P4,0.318690227,7.967255684,2271.694347,2.271694347,605.7851591,0.605785159,1067.696343,1.067696343,161.5427091,0.161542709,2.124601516,78.4752021,564.0404002,303.5444698,511.2811431,35.99194846,185.8470041
1499,Willow,Salix alba,30.1,67.8,6,0.47,1,P4,0.361034969,10.86715258,3354.469409,3.354469409,894.5251757,0.894525176,1576.600622,1.576600622,238.5400469,0.238540047,2.897907354,345.8662661,359.459019,26.99052334,1628.959326,59.70343311,287.8051644
1500,Ash,Fraxinus excelsior,21.6,46.4,4.5,0.67,1,P4,0.169093083,3.652410593,1635.814415,1.635814415,436.2171772,0.436217177,768.8327749,0.768832775,116.3245806,0.116324581,0.973976158,250.2007669,533.6576172,383.5588049,335.2834648,162.8903732,885.5226663
1501,Oak,Quercus robur,29.6,57.5,5.1,0.7,1,P4,0.259672268,7.686299126,3529.255451,3.529255451,941.1347868,0.941134787,1658.750062,1.658750062,250.9692765,0.250969276,2.049679767,261.8559515,958.5951052,321.7958775,682.5970564,53.19070353,306.8950455
1502,Yew,Taxus baccata,22.5,44.5,4.9,0.64,1,P4,0.155528471,3.499390604,1500.291324,1.500291324,400.0776865,0.400077687,705.1369225,0.705136923,106.6873831,0.106687383,0.933170828,409.9736534,970.3679251,52.74244249,687.0187056,46.88333676,523.9349988
1503,Cherry,Prunus avium,22.6,76.5,5.2,0.72,1,P4,0.45963464,10.38774287,4867.304748,4.867304748,1297.947933,1.297947933,2287.633231,2.287633231,346.1194487,0.346119449,2.770064765,68.06362302,76.55555486,116.4852415,407.2493878,11.67211718,407.51048
1504,Yew,Taxus baccata,26.5,41.3,8.7,0.64,1,P4,0.133964579,3.550061352,1521.490316,1.521490316,405.7307511,0.405730751,715.1004487,0.715100449,108.1948669,0.108194867,0.946683027,292.6589263,356.8228635,156.1127643,1821.306814,91.48961968,326.9822491
1505,Pine,Pinus sylvestris,28.2,68.6,7.2,0.45,1,P4,0.369605234,10.4228676,3086.72743,3.08672743,823.1273146,0.823127315,1450.761892,1.450761892,219.5006172,0.219500617,2.77943136,128.5152016,681.2543349,79.43485644,1588.124778,30.00780821,630.4226055
1506,Hemlock,Tsuga canadensis,42,65.9,14.8,0.45,1,P4,0.3410835,14.32550699,4210.232839,4.210232839,1122.728757,1.122728757,1978.809435,1.978809435,299.3943352,0.299394335,3.820135198,349.5558364,958.0934762,342.2467989,878.9661157,107.2130879,872.9272118
1507,Maple,Acer saccharum,20.8,40.4,7.8,0.71,1,P4,0.128189547,2.66634257,1273.296227,1.273296227,339.5456605,0.339545661,598.4492267,0.598449227,90.54550948,0.090545509,0.711024685,265.3375384,801.3656444,324.3962086,1445.850796,96.78394678,971.0910795
1508,Yew,Taxus baccata,28.8,50.3,8.1,0.64,1,P4,0.198712804,5.722928753,2424.792018,2.424792018,646.6112048,0.646611205,1139.652248,1.139652248,172.4296546,0.172429655,1.526114334,293.5321229,930.046437,221.2223739,36.2402289,96.67503237,127.8417429
1509,Redwood,Sequoia sempervirens,32.4,43.6,10,0.48,1,P4,0.149301049,4.837353996,1554.089653,1.554089653,414.4239074,0.414423907,730.4221368,0.730422137,110.513042,0.110513042,1.289961066,350.0318845,801.2261548,110.4670018,652.9811352,61.52133324,318.9455296
1510,Poplar,Populus tremula,25.8,46.3,11,0.42,1,P4,0.168365019,4.343817487,1228.177959,1.228177959,327.5141223,0.327514122,577.2436406,0.577243641,87.33709929,0.087337099,1.15835133,474.6201589,510.7790588,108.2401287,1410.279094,126.998237,847.073534
1511,Walnut,Juglans regia,22.4,54,4.1,0.61,1,P4,0.229022104,5.13009514,2079.56102,2.07956102,554.5496053,0.554549605,977.3936794,0.977393679,147.8798948,0.147879895,1.368025371,368.5761203,832.774304,388.798499,494.5938455,189.8898317,613.3703066
1512,Ash,Fraxinus excelsior,31.2,78.8,9.2,0.67,1,P4,0.487688277,15.21587425,6585.338931,6.585338931,1756.090382,1.756090382,3095.109298,3.095109298,468.2907685,0.468290768,4.057566466,363.9494246,219.6701128,408.4581703,1497.838728,165.3614538,152.8982023
1513,Willow,Salix alba,26.8,62.1,4.6,0.47,1,P4,0.302881733,8.117230448,2523.230561,2.523230561,672.8614829,0.672861483,1185.918364,1.185918364,179.4297288,0.179429729,2.164594786,389.8762663,196.4608884,431.3850286,232.2925178,155.9351912,661.5480759
1514,Poplar,Populus tremula,33.1,43.5,11.1,0.42,1,P4,0.148616967,4.919221623,1386.722375,1.386722375,369.7926334,0.369792633,651.7595164,0.651759516,98.61136892,0.098611369,1.311792433,469.5507998,725.7940332,147.786392,1425.759754,183.5879242,632.7353651
1515,Spruce,Picea abies,21.6,45.3,6.6,0.43,1,P4,0.161170772,3.481288669,1012.536828,1.012536828,270.0098208,0.270009821,475.8923091,0.475892309,72.00261888,0.072002619,0.928343645,363.5833622,512.9157156,309.0237875,-203.0535837,31.25225545,241.4848606
1516,Fir,Abies alba,20.5,57.3,5.9,0.42,1,P4,0.257868994,5.286314369,1487.633543,1.487633543,396.702278,0.396702278,699.1877651,0.699187765,105.7872741,0.105787274,1.409683832,397.5124444,162.3855512,421.5985989,889.8736899,54.84476699,877.444179
1517,Cypress,Cupressus sempervirens,20.6,51.1,3.8,0.47,1,P4,0.205083954,4.224729449,1333.996155,1.333996155,355.7323079,0.355732308,626.9781927,0.626978193,94.86194878,0.094861949,1.12659452,366.1414334,872.0297945,189.2726345,1004.691737,72.40773501,622.241471
1518,Poplar,Populus tremula,22,56.3,7.5,0.42,1,P4,0.24894687,5.47683115,1539.938209,1.539938209,410.6501891,0.410650189,723.7709583,0.723770958,109.5067171,0.109506717,1.460488307,376.6221188,437.7554175,298.2370271,1438.95498,165.9536565,715.6924504
1519,Birch,Betula pendula,22.5,53.7,6.1,0.67,1,P4,0.226484483,5.095900867,2264.143846,2.264143846,603.7716922,0.603771692,1064.147608,1.064147608,161.0057846,0.161005785,1.358906898,206.4988387,482.1279504,267.365922,-128.4764913,162.179931,836.668443
1520,Beech,Fagus sylvatica,21.7,45.7,7.3,0.67,1,P4,0.164029621,3.559442776,1595.163466,1.595163466,425.3769243,0.425376924,749.726829,0.749726829,113.4338465,0.113433846,0.94918474,226.4937769,515.6928397,388.1893497,361.7915833,118.5303949,736.7356034
1521,Maple,Acer saccharum,23.3,43.8,4.1,0.71,1,P4,0.150673925,3.510702459,1665.482429,1.665482429,444.1286477,0.444128648,782.7767416,0.782776742,118.4343061,0.118434306,0.936187322,259.3891375,374.37835,238.0358323,76.56673904,138.160044,86.912616
1522,Beech,Fagus sylvatica,23.2,53.3,5.3,0.67,1,P4,0.223122979,5.176453109,2299.068213,2.299068213,613.0848568,0.613084857,1080.56206,1.08056206,163.4892952,0.163489295,1.380387496,396.437261,847.1968909,352.3471013,308.7417504,124.6110185,936.0491637
1523,Redwood,Sequoia sempervirens,23.6,57.2,5.1,0.48,1,P4,0.256969713,6.06448522,1937.78538,1.93778538,516.7427681,0.516742768,910.7591287,0.910759129,137.7980715,0.137798071,1.617196059,239.9804322,713.0388254,24.08183642,833.3802763,101.5621215,327.619393
1524,Maple,Acer saccharum,20.1,71.7,6.4,0.71,1,P4,0.403764556,8.115667584,3773.427033,3.773427033,1006.247209,1.006247209,1773.510706,1.773510706,268.332589,0.268332589,2.164178022,259.8394035,925.2468425,101.7953113,1092.742696,15.85391007,56.27819746
1525,Locust,Robinia pseudoacacia,28.3,58.5,3.4,0.69,1,P4,0.268782886,7.606555687,3444.796637,3.444796637,918.6124364,0.918612436,1619.054419,1.619054419,244.9633164,0.244963316,2.02841485,309.2552687,336.9522171,202.818612,316.1872534,162.5250578,466.029145
1526,Magnolia,Magnolia grandiflora,22.6,40.2,7.3,0.6,1,P4,0.126923485,2.868470756,1160.24519,1.16024519,309.3987175,0.309398717,545.3152395,0.54531524,82.50632466,0.082506325,0.764925535,36.60264368,814.5502241,33.06249693,275.1918796,46.32468623,180.1997561
1527,Beech,Fagus sylvatica,35.4,59.9,11.4,0.67,1,P4,0.281801646,9.975778283,4361.425041,4.361425041,1163.046678,1.163046678,2049.869769,2.049869769,310.1457807,0.310145781,2.660207542,413.0209219,600.4944067,138.4910802,1483.216759,94.68284102,304.7271834
1528,Larch,Larix decidua,40.1,65.5,5.1,0.59,1,P4,0.336955447,13.51191343,5180.10488,5.18010488,1381.361301,1.381361301,2434.649294,2.434649294,368.3630137,0.368363014,3.603176914,492.1170678,138.2908232,231.4083726,1574.013159,187.015703,610.005246
1529,Locust,Robinia pseudoacacia,23,47.4,6.1,0.69,1,P4,0.176460118,4.058582708,1865.93911,1.86593911,497.5837628,0.497583763,876.9913819,0.876991382,132.6890034,0.132689003,1.082288722,207.2003076,394.012652,59.08773776,1536.273836,108.6722934,928.849609
1530,Ash,Fraxinus excelsior,23.9,50.8,7.1,0.67,1,P4,0.202682992,4.8441235,2154.896369,2.154896369,574.6390317,0.574639032,1012.801293,1.012801293,153.2370751,0.153237075,1.291766267,455.3065976,703.0906128,323.8989728,556.5048321,123.0116661,710.3421735
1531,Larch,Larix decidua,38.1,74.2,9.6,0.59,1,P4,0.432411954,16.47489546,6286.04994,6.28604994,1676.279984,1.676279984,2954.443472,2.954443472,447.0079957,0.447007996,4.393305457,160.0228842,901.4880997,262.3381906,1153.506481,98.84296866,66.7708953
1532,Beech,Fagus sylvatica,24.1,61.2,4.5,0.67,1,P4,0.29416617,7.08940469,3125.010502,3.125010502,833.336134,0.833336134,1468.754936,1.468754936,222.2229691,0.222222969,1.890507917,111.5192603,953.0729676,266.0630309,970.3509298,135.4636686,246.8154934
1533,Spruce,Picea abies,23,43.5,5.6,0.43,1,P4,0.148616967,3.418190252,994.6211143,0.994621114,265.2322971,0.265232297,467.4719237,0.467471924,70.72861257,0.070728613,0.9115174,376.1796847,588.0728031,129.4037241,1008.556202,49.56888113,141.5493867
1534,Locust,Robinia pseudoacacia,25.1,44.8,5.9,0.69,1,P4,0.157632553,3.95657708,1820.153488,1.820153488,485.3742635,0.485374263,855.4721394,0.855472139,129.4331369,0.129433137,1.055087221,480.4956862,392.586957,235.7746251,1106.26909,61.14038751,129.4852681
1535,Cherry,Prunus avium,24.2,45.5,8,0.72,1,P4,0.162597055,3.934848726,1887.181299,1.887181299,503.2483463,0.503248346,886.9752104,0.88697521,134.199559,0.134199559,1.049292993,204.3031459,456.194289,76.88549511,1555.83794,115.2955183,128.0591977
1536,Hemlock,Tsuga canadensis,25.2,67.7,7.2,0.45,1,P4,0.359970755,9.071263022,2695.42025,2.69542025,718.7787333,0.718778733,1266.847517,1.266847517,191.6743289,0.191674329,2.419003472,329.7805031,128.3143672,116.6779854,1396.72943,93.49994598,305.5159962
1537,Fir,Abies alba,20.3,52.5,3.4,0.42,1,P4,0.216475369,4.394449986,1242.148345,1.242148345,331.2395585,0.331239559,583.8097219,0.583809722,88.33054895,0.088330549,1.17185333,77.30261017,450.7949936,482.1338343,1324.573563,115.7831968,613.0933073
1538,Birch,Betula pendula,22.4,42.4,5.9,0.67,1,P4,0.14119574,3.162784581,1421.426113,1.421426113,379.0469635,0.379046963,668.0702731,0.668070273,101.0791903,0.10107919,0.843409222,228.1397059,605.4715587,152.4425879,773.4488254,96.99921749,699.0108454
1539,Willow,Salix alba,24.4,47.6,4.2,0.47,1,P4,0.177952374,4.342037932,1370.136436,1.370136436,365.3697164,0.365369716,643.9641251,0.643964125,97.43192437,0.097431924,1.157876782,240.5203658,893.402869,443.2832417,-8.375747167,55.57168204,524.1514449
1540,Larch,Larix decidua,35.6,40.1,5.1,0.59,1,P4,0.12629281,4.496024039,1769.781459,1.769781459,471.9417224,0.471941722,831.7972858,0.831797286,125.851126,0.125851126,1.198939744,344.0743932,678.9734401,394.6478087,55.34830315,183.5799197,412.7966556
1541,Cypress,Cupressus sempervirens,30.4,56,9.1,0.47,1,P4,0.246300864,7.487546267,2332.008988,2.332008988,621.8690634,0.621869063,1096.044224,1.096044224,165.8317502,0.16583175,1.996679004,449.368119,400.2809285,122.7184553,1717.151621,134.0047583,567.0035143
1542,Poplar,Populus tremula,24.5,52,4.5,0.42,1,P4,0.212371663,5.203105753,1464.775262,1.464775262,390.6067366,0.390606737,688.4443732,0.688444373,104.1617964,0.104161796,1.387494867,357.8115349,760.597541,97.40102097,1514.140431,123.2302628,94.12607667
1543,Fir,Abies alba,23.2,51.1,3,0.42,1,P4,0.205083954,4.757947729,1342.332923,1.342332923,357.955446,0.357955446,630.8964736,0.630896474,95.4547856,0.095454786,1.268786061,238.2797244,940.6457442,290.4297511,201.8090666,125.9379602,801.5978689
1544,Walnut,Juglans regia,34.8,63.6,8.9,0.61,1,P4,0.317690416,11.05562646,4399.73597,4.39973597,1173.262925,1.173262925,2067.875906,2.067875906,312.8701134,0.312870113,2.948167056,452.0028242,170.9426704,368.1367822,-224.2995949,156.8459335,144.3352675
1545,Cedar,Cedrus libani,25.8,40.4,3.8,0.56,1,P4,0.128189547,3.307290303,1246.360958,1.246360958,332.3629221,0.332362922,585.7896502,0.58578965,88.63011256,0.088630113,0.881944081,79.77906415,71.18129891,80.02001598,1539.370027,43.86061719,195.0604395
1546,Birch,Betula pendula,31.8,78.7,9.2,0.67,1,P4,0.486451275,15.46915055,6692.303347,6.692303347,1784.614226,1.784614226,3145.382573,3.145382573,475.8971269,0.475897127,4.125106813,211.41159,128.5964094,281.120416,126.1159849,108.9317852,419.5295829
1547,Locust,Robinia pseudoacacia,26.6,46.5,4,0.69,1,P4,0.169822718,4.517284296,2071.497522,2.071497522,552.3993393,0.552399339,973.6038355,0.973603835,147.3064905,0.14730649,1.204609145,71.32446585,344.0701719,188.8617536,783.4922508,187.2005336,631.344698
1548,Cedar,Cedrus libani,27.6,57.7,3.2,0.56,1,P4,0.261481825,7.216898374,2669.248639,2.669248639,711.7996371,0.711799637,1254.54686,1.25454686,189.8132366,0.189813237,1.924506233,156.6258202,799.0871325,127.089415,159.8589164,166.8537421,153.6059977
1549,Maple,Acer saccharum,35.1,67.4,9.9,0.71,1,P4,0.356787536,12.52324252,5762.448755,5.762448755,1536.653001,1.536653001,2708.350915,2.708350915,409.7741337,0.409774134,3.339531338,417.1686769,154.3784408,188.0698197,1518.348662,63.83280139,943.6058856
1550,Walnut,Juglans regia,22.5,40.5,3.4,0.61,1,P4,0.128824934,2.898561009,1191.185302,1.191185302,317.649414,0.317649414,559.8570921,0.559857092,84.70651039,0.08470651,0.772949603,219.2515828,413.2244304,478.9763766,405.6088067,13.0118909,758.245678
1551,Pine,Pinus sylvestris,20.4,40.9,3.7,0.45,1,P4,0.13138219,2.680196679,820.0369436,0.820036944,218.6765183,0.218676518,385.4173635,0.385417364,58.31373821,0.058313738,0.714719115,247.1156601,121.541502,151.8883067,1468.599953,29.18754109,797.280424
1552,Larch,Larix decidua,30.7,58.7,3.4,0.59,1,P4,0.27062386,8.308152495,3222.517286,3.222517286,859.337943,0.859337943,1514.583125,1.514583125,229.1567848,0.229156785,2.215507332,409.6019656,365.4282495,287.9189086,-180.451665,151.7535531,966.5374701
1553,Larch,Larix decidua,33.5,50.1,7.9,0.59,1,P4,0.197135724,6.604046768,2575.690049,2.575690049,686.8506798,0.68685068,1210.574323,1.210574323,183.1601813,0.183160181,1.761079138,412.7388986,927.5593718,385.134388,1347.532188,125.3212066,732.9693235
1554,Beech,Fagus sylvatica,32.6,54.5,6.1,0.67,1,P4,0.233282889,7.605022197,3346.650975,3.346650975,892.44026,0.89244026,1572.925958,1.572925958,237.9840693,0.237984069,2.028005919,130.2965343,71.28287205,296.8077125,1200.54879,111.4836579,307.4398124
1555,Pine,Pinus sylvestris,32.4,46,7.8,0.45,1,P4,0.166190251,5.384564145,1620.114448,1.620114448,432.0305195,0.43203052,761.4537906,0.761453791,115.2081385,0.115208139,1.435883772,241.5011024,606.1654955,35.29681504,1538.596014,174.1039118,208.5246737
