,S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
1127,1127,Willow,Salix alba,23.1,41.5,3.5,0.47,1,P3
1128,1128,Oak,Quercus robur,30.4,42.3,4.3,0.7,1,P3
1130,1130,Spruce,Picea abies,40.2,57.6,10,0.43,1,P3
1131,1131,Oak,Quercus robur,28.6,42.2,5.9,0.7,1,P3
1133,1133,Maple,Acer saccharum,23.3,52.1,4.8,0.71,1,P3
1134,1134,Willow,Salix alba,32.6,43,10.9,0.47,1,P3
1135,1135,Oak,Quercus robur,27.4,57.1,9.2,0.7,1,P3
1136,1136,Yew,Taxus baccata,24.9,48.4,12.2,0.64,1,P3
1137,1137,Locust,Robinia pseudoacacia,28.1,66.7,3.2,0.69,1,P3
1139,1139,Cherry,Prunus avium,29.1,64.9,14.1,0.72,1,P3
1140,1140,Cedar,Cedrus libani,21.5,41.4,4,0.56,1,P3
1142,1142,Oak,Quercus robur,21.1,41.1,6.7,0.7,1,P3
1143,1143,Yew,Taxus baccata,22.8,41.7,5.8,0.64,1,P3
1144,1144,Ash,Fraxinus excelsior,24,41.3,3.4,0.67,1,P3
1145,1145,Walnut,Juglans regia,21.3,41.1,6.1,0.61,1,P3
1146,1146,Birch,Betula pendula,24.5,45.9,9.6,0.67,1,P3
1148,1148,Birch,Betula pendula,27.7,63.1,9.9,0.67,1,P3
1149,1149,Larch,Larix decidua,29.3,41.8,5.4,0.59,1,P3
1151,1151,Redwood,Sequoia sempervirens,20.4,50.7,6.2,0.48,1,P3
1152,1152,Birch,Betula pendula,33.2,41.1,9.8,0.67,1,P3
1153,1153,Locust,Robinia pseudoacacia,25.2,64.5,3.5,0.69,1,P3
1154,1154,Cherry,Prunus avium,20.9,45.5,4.5,0.72,1,P3
1155,1155,Magnolia,Magnolia grandiflora,28.8,61.3,12.7,0.6,1,P3
1157,1157,Yew,Taxus baccata,25.1,51.1,7.7,0.64,1,P3
1158,1158,Beech,Fagus sylvatica,20.2,47.3,5.2,0.67,1,P3
1160,1160,Beech,Fagus sylvatica,27.3,63.6,5,0.67,1,P3
1161,1161,Locust,Robinia pseudoacacia,26.1,46.4,8.5,0.69,1,P3
1162,1162,Cherry,Prunus avium,22,54.7,5,0.72,1,P3
1163,1163,Locust,Robinia pseudoacacia,20.1,63.6,9.9,0.69,1,P3
1164,1164,Ash,Fraxinus excelsior,26,41.9,5,0.67,1,P3
1166,1166,Spruce,Picea abies,34.1,68.5,16.8,0.43,1,P3
1167,1167,Locust,Robinia pseudoacacia,21.6,49.1,4.8,0.69,1,P3
1169,1169,Redwood,Sequoia sempervirens,31.4,60.7,9.9,0.48,1,P3
1170,1170,Willow,Salix alba,34.8,62.4,10.4,0.47,1,P3
1171,1171,Yew,Taxus baccata,25,50.1,3.2,0.64,1,P3
1172,1172,Redwood,Sequoia sempervirens,36.2,65.7,6.9,0.48,1,P3
1173,1173,Walnut,Juglans regia,32.3,42.6,9.3,0.61,1,P3
1175,1175,Ash,Fraxinus excelsior,24.1,51.4,3.7,0.67,1,P3
1176,1176,Spruce,Picea abies,32,44.5,6.4,0.43,1,P3
1178,1178,Locust,Robinia pseudoacacia,28.4,66.8,5.5,0.69,1,P3
1179,1179,Pine,Pinus sylvestris,36.8,72.5,11,0.45,1,P3
1180,1180,Cypress,Cupressus sempervirens,25.3,45.9,9.6,0.47,1,P3
1181,1181,Hemlock,Tsuga canadensis,23.8,45.2,4.1,0.45,1,P3
1182,1182,Spruce,Picea abies,25.8,54.3,6.3,0.43,1,P3
1184,1184,Cypress,Cupressus sempervirens,21.7,48.4,6.6,0.47,1,P3
1185,1185,Cherry,Prunus avium,25.7,40.1,8.5,0.72,1,P3
1187,1187,Ash,Fraxinus excelsior,30.7,41.5,9.3,0.67,1,P3
1188,1188,Walnut,Juglans regia,21.7,58.8,3.5,0.61,1,P3
1189,1189,Walnut,Juglans regia,34.5,56.1,11.5,0.61,1,P3
1190,1190,Pine,Pinus sylvestris,36.3,79.8,15.3,0.45,1,P3
1191,1191,Ash,Fraxinus excelsior,29.4,52,6.4,0.67,1,P3
1193,1193,Pine,Pinus sylvestris,34,96.7,12.2,0.45,1,P3
1194,1194,Ash,Fraxinus excelsior,23.3,43.3,3.4,0.67,1,P3
1196,1196,Birch,Betula pendula,21.1,41.4,5.5,0.67,1,P3
1197,1197,Cedar,Cedrus libani,23,58.1,6,0.56,1,P3
1198,1198,Hemlock,Tsuga canadensis,37.6,52.7,11,0.45,1,P3
1199,1199,Birch,Betula pendula,23.7,60.5,7.2,0.67,1,P3
1200,1200,Maple,Acer saccharum,20.8,45.6,6.4,0.71,1,P3
1202,1202,Redwood,Sequoia sempervirens,23.1,56.6,7.8,0.48,1,P3
1203,1203,Beech,Fagus sylvatica,28.2,61.4,5.3,0.67,1,P3
1205,1205,Cherry,Prunus avium,30,57.5,3.8,0.72,1,P3
1206,1206,Redwood,Sequoia sempervirens,33.9,55.8,7.1,0.48,1,P3
1207,1207,Oak,Quercus robur,32.7,58.3,5.6,0.7,1,P3
1208,1208,Beech,Fagus sylvatica,33.1,65.5,5.3,0.67,1,P3
1209,1209,Locust,Robinia pseudoacacia,24.3,42.5,7,0.69,1,P3
1211,1211,Walnut,Juglans regia,21.1,47.2,4.6,0.61,1,P3
1212,1212,Spruce,Picea abies,23.8,58.9,3.7,0.43,1,P3
1214,1214,Maple,Acer saccharum,30,59.1,10.2,0.71,1,P3
1215,1215,Spruce,Picea abies,22.4,41.1,3.4,0.43,1,P3
1216,1216,Maple,Acer saccharum,34.2,55.8,3.2,0.71,1,P3
1217,1217,Cypress,Cupressus sempervirens,39,88.9,11.3,0.47,1,P3
1218,1218,Maple,Acer saccharum,37.8,60.8,9.4,0.71,1,P3
1220,1220,Locust,Robinia pseudoacacia,34.7,74.1,9,0.69,1,P3
1221,1221,Magnolia,Magnolia grandiflora,26.6,41.3,5.8,0.6,1,P3
1223,1223,Cherry,Prunus avium,40.4,66.3,16.1,0.72,1,P3
1224,1224,Willow,Salix alba,27.3,50.7,5.5,0.47,1,P3
1225,1225,Birch,Betula pendula,24.7,43.2,5.2,0.67,1,P3
1226,1226,Maple,Acer saccharum,30.7,55.4,5.5,0.71,1,P3
1227,1227,Birch,Betula pendula,31.5,58,7.9,0.67,1,P3
1229,1229,Cypress,Cupressus sempervirens,22,52.6,4.4,0.47,1,P3
1230,1230,Walnut,Juglans regia,29.8,44.7,4.2,0.61,1,P3
1232,1232,Walnut,Juglans regia,38.7,73.4,12.2,0.61,1,P3
1233,1233,Redwood,Sequoia sempervirens,26.1,40.1,3.9,0.48,1,P3
1234,1234,Yew,Taxus baccata,33.6,66.8,14.7,0.64,1,P3
1235,1235,Birch,Betula pendula,22.3,49.1,3.6,0.67,1,P3
1236,1236,Cherry,Prunus avium,40.6,81.6,8.9,0.72,1,P3
1238,1238,Cypress,Cupressus sempervirens,24,41.3,7.1,0.47,1,P3
1239,1239,Oak,Quercus robur,24.9,42.7,9.3,0.7,1,P3
1241,1241,Spruce,Picea abies,25.6,68.7,3.1,0.43,1,P3
1242,1242,Larch,Larix decidua,24.3,54.5,8.4,0.59,1,P3
1243,1243,Poplar,Populus tremula,31.9,64.2,10.7,0.42,1,P3
1244,1244,Maple,Acer saccharum,27.5,69.6,3.4,0.71,1,P3
1245,1245,Redwood,Sequoia sempervirens,25.3,62.1,3.9,0.48,1,P3
1247,1247,Magnolia,Magnolia grandiflora,25.9,45.1,4.8,0.6,1,P3
1248,1248,Fir,Abies alba,23.6,44.6,7.7,0.42,1,P3
1250,1250,Cypress,Cupressus sempervirens,24.7,49.9,3.5,0.47,1,P3
1251,1251,Walnut,Juglans regia,30.6,60.1,7.2,0.61,1,P3
1252,1252,Larch,Larix decidua,23.4,56.1,5.9,0.59,1,P3
1253,1253,Yew,Taxus baccata,24.3,60.4,4.3,0.64,1,P3
1254,1254,Hemlock,Tsuga canadensis,27,41.8,5.2,0.45,1,P3
1256,1256,Beech,Fagus sylvatica,31.8,58.4,6.3,0.67,1,P3
1257,1257,Birch,Betula pendula,25.9,52.7,12.2,0.67,1,P3
1259,1259,Fir,Abies alba,20.4,50.1,3.7,0.42,1,P3
1260,1260,Spruce,Picea abies,27.9,44.2,9.2,0.43,1,P3
1261,1261,Fir,Abies alba,29,60.6,3.6,0.42,1,P3
1262,1262,Magnolia,Magnolia grandiflora,26.9,46.5,8.3,0.6,1,P3
1263,1263,Larch,Larix decidua,20.2,45.9,5.3,0.59,1,P3
1265,1265,Oak,Quercus robur,23.2,48.6,3.5,0.7,1,P3
1266,1266,Ash,Fraxinus excelsior,28.5,57.6,9,0.67,1,P3
1268,1268,Spruce,Picea abies,31,75.6,8.4,0.43,1,P3
1269,1269,Larch,Larix decidua,22.7,49.4,3.8,0.59,1,P3
1270,1270,Fir,Abies alba,30.6,82.8,3.5,0.42,1,P3
1271,1271,Fir,Abies alba,28.6,57.8,6.4,0.42,1,P3
1272,1272,Magnolia,Magnolia grandiflora,23.4,57,5.5,0.6,1,P3
1274,1274,Larch,Larix decidua,23,48,3.3,0.59,1,P3
1275,1275,Birch,Betula pendula,22.2,45.1,7,0.67,1,P3
1277,1277,Willow,Salix alba,20.8,46,5.6,0.47,1,P3
1278,1278,Ash,Fraxinus excelsior,28.5,46.4,10.2,0.67,1,P3
1279,1279,Magnolia,Magnolia grandiflora,24.7,49.4,4.4,0.6,1,P3
1280,1280,Yew,Taxus baccata,24,60.9,5.2,0.64,1,P3
1281,1281,Walnut,Juglans regia,21,63.9,4.3,0.61,1,P3
1283,1283,Yew,Taxus baccata,20.5,46.9,6,0.64,1,P3
1284,1284,Cypress,Cupressus sempervirens,41.1,82.2,13.8,0.47,1,P3
1286,1286,Ash,Fraxinus excelsior,20.4,48.1,6.3,0.67,1,P3
1287,1287,Magnolia,Magnolia grandiflora,21.5,44.3,4.9,0.6,1,P3
1288,1288,Locust,Robinia pseudoacacia,33,66.1,6.5,0.69,1,P3
1289,1289,Larch,Larix decidua,39.3,78,11.3,0.59,1,P3
1290,1290,Magnolia,Magnolia grandiflora,21.5,50.2,4.6,0.6,1,P3
1292,1292,Walnut,Juglans regia,33.6,81.3,10.4,0.61,1,P3
1293,1293,Walnut,Juglans regia,24.5,51.9,3.1,0.61,1,P3
1295,1295,Ash,Fraxinus excelsior,24.1,48.2,6,0.67,1,P3
1296,1296,Maple,Acer saccharum,21,59.7,5.8,0.71,1,P3
1297,1297,Cherry,Prunus avium,21.6,40.1,6.7,0.72,1,P3
1298,1298,Poplar,Populus tremula,27.7,54.4,7.6,0.42,1,P3
1299,1299,Maple,Acer saccharum,20.6,60.7,7.1,0.71,1,P3
1301,1301,Willow,Salix alba,25.3,55.2,6.9,0.47,1,P3
1302,1302,Locust,Robinia pseudoacacia,25.8,50.5,7.1,0.69,1,P3
1304,1304,Cherry,Prunus avium,22.6,57.9,3.9,0.72,1,P3
1305,1305,Birch,Betula pendula,25.1,55.5,10.2,0.67,1,P3
1306,1306,Redwood,Sequoia sempervirens,20.3,68.4,5.1,0.48,1,P3
1307,1307,Yew,Taxus baccata,31.3,67.2,7.4,0.64,1,P3
1308,1308,Birch,Betula pendula,21.1,48.5,6.1,0.67,1,P3
1310,1310,Larch,Larix decidua,23.2,44.4,3.5,0.59,1,P3
1311,1311,Pine,Pinus sylvestris,31.2,74.2,7.4,0.45,1,P3
1313,1313,Cherry,Prunus avium,25.5,57.1,5.9,0.72,1,P3
1314,1314,Birch,Betula pendula,27,47.9,7.9,0.67,1,P3
1315,1315,Poplar,Populus tremula,26.4,51.3,3.5,0.42,1,P3
1316,1316,Oak,Quercus robur,26.2,52.3,3.2,0.7,1,P3
1317,1317,Willow,Salix alba,24.1,42.7,9.7,0.47,1,P3
1319,1319,Pine,Pinus sylvestris,29.5,64,9.8,0.45,1,P3
1320,1320,Cherry,Prunus avium,20.3,62.4,3.7,0.72,1,P3
1322,1322,Larch,Larix decidua,41,80.5,9.8,0.59,1,P3
1323,1323,Willow,Salix alba,36.2,84,10.1,0.47,1,P3
1324,1324,Maple,Acer saccharum,55.7,91.7,18.9,0.71,1,P3
1325,1325,Birch,Betula pendula,23.9,44.3,3.2,0.67,1,P3
1326,1326,Walnut,Juglans regia,34.1,60,3.5,0.61,1,P3
1328,1328,Redwood,Sequoia sempervirens,26.7,46.7,11,0.48,1,P3
1329,1329,Redwood,Sequoia sempervirens,27.5,43,4.7,0.48,1,P3
1331,1331,Beech,Fagus sylvatica,29.7,52.4,5.1,0.67,1,P3
1332,1332,Oak,Quercus robur,30.2,44.8,5.2,0.7,1,P3
1333,1333,Pine,Pinus sylvestris,24,53.2,5.9,0.45,1,P3
1334,1334,Hemlock,Tsuga canadensis,25.1,51.4,5.5,0.45,1,P3
1335,1335,Cedar,Cedrus libani,24,52.3,6.6,0.56,1,P3
1337,1337,Yew,Taxus baccata,27.5,65.7,4.4,0.64,1,P3
1338,1338,Birch,Betula pendula,30.5,63.2,11.9,0.67,1,P3
1340,1340,Birch,Betula pendula,24.2,44.6,5.8,0.67,1,P3
1341,1341,Cedar,Cedrus libani,24.8,43.5,3.3,0.56,1,P3
1342,1342,Hemlock,Tsuga canadensis,37.9,60.7,8.9,0.45,1,P3
1343,1343,Redwood,Sequoia sempervirens,27.7,46.5,5.5,0.48,1,P3
1344,1344,Yew,Taxus baccata,24.3,56.3,7.7,0.64,1,P3
1346,1346,Hemlock,Tsuga canadensis,34.4,40.9,6.6,0.45,1,P3
1347,1347,Magnolia,Magnolia grandiflora,37.3,48.9,8.1,0.6,1,P3
1349,1349,Spruce,Picea abies,22.8,57.3,9.3,0.43,1,P4
1350,1350,Pine,Pinus sylvestris,21.2,58.1,3.9,0.45,1,P4
1351,1351,Cypress,Cupressus sempervirens,22.2,51.3,4.9,0.47,1,P4
1352,1352,Hemlock,Tsuga canadensis,35.1,79.5,5.3,0.45,1,P4
1353,1353,Birch,Betula pendula,36.1,44.8,6.9,0.67,1,P4
1355,1355,Spruce,Picea abies,31.3,52.6,6.6,0.43,1,P4
1356,1356,Poplar,Populus tremula,39.7,75.3,11.9,0.42,1,P4
1358,1358,Redwood,Sequoia sempervirens,29.7,75.2,10,0.48,1,P4
1359,1359,Pine,Pinus sylvestris,25.2,56.9,6.8,0.45,1,P4
1360,1360,Larch,Larix decidua,25.9,51.9,3.4,0.59,1,P4
1361,1361,Walnut,Juglans regia,40.6,70.6,11.2,0.61,1,P4
1362,1362,Spruce,Picea abies,21.4,45.2,5.1,0.43,1,P4
1364,1364,Cherry,Prunus avium,27.6,63.1,4,0.72,1,P4
1365,1365,Redwood,Sequoia sempervirens,27.4,52.1,12.4,0.48,1,P4
1367,1367,Oak,Quercus robur,34.5,61.9,8.2,0.7,1,P4
1368,1368,Fir,Abies alba,30.6,58,5.2,0.42,1,P4
1369,1369,Spruce,Picea abies,23.3,47.8,5.8,0.43,1,P4
1370,1370,Locust,Robinia pseudoacacia,26.6,51.9,3.3,0.69,1,P4
1371,1371,Hemlock,Tsuga canadensis,21.2,51.9,6.3,0.45,1,P4
1373,1373,Larch,Larix decidua,29.2,82.5,5.7,0.59,1,P4
1374,1374,Poplar,Populus tremula,35.2,56.3,10.9,0.42,1,P4
1376,1376,Maple,Acer saccharum,28.9,57.9,3.3,0.71,1,P4
1377,1377,Poplar,Populus tremula,30.6,76.3,6.1,0.42,1,P4
1378,1378,Cherry,Prunus avium,26.8,57.5,3.2,0.72,1,P4
1379,1379,Redwood,Sequoia sempervirens,27.4,71.3,7.9,0.48,1,P4
1380,1380,Redwood,Sequoia sempervirens,27,52.9,4.8,0.48,1,P4
1382,1382,Oak,Quercus robur,23.8,57.3,3.4,0.7,1,P4
1383,1383,Hemlock,Tsuga canadensis,21.2,69.1,3.5,0.45,1,P4
1385,1385,Cedar,Cedrus libani,23.9,52.1,6.9,0.56,1,P4
1386,1386,Willow,Salix alba,39.1,75.4,11.7,0.47,1,P4
1387,1387,Pine,Pinus sylvestris,23.6,45.7,4.6,0.45,1,P4
1388,1388,Hemlock,Tsuga canadensis,23.4,44.1,3.9,0.45,1,P4
1389,1389,Larch,Larix decidua,28.5,51.1,5.9,0.59,1,P4
1391,1391,Pine,Pinus sylvestris,25.7,57.9,3.5,0.45,1,P4
1392,1392,Spruce,Picea abies,35.9,64.6,3.6,0.43,1,P4
1394,1394,Magnolia,Magnolia grandiflora,30.1,60.6,10.5,0.6,1,P4
1395,1395,Yew,Taxus baccata,26.3,63.2,4.9,0.64,1,P4
1396,1396,Pine,Pinus sylvestris,29.5,62.3,9.5,0.45,1,P4
1397,1397,Spruce,Picea abies,22.4,50.5,5.4,0.43,1,P4
1398,1398,Ash,Fraxinus excelsior,29.2,61.4,8.9,0.67,1,P4
1400,1400,Maple,Acer saccharum,26.4,41.8,8,0.71,1,P4
1401,1401,Oak,Quercus robur,34.7,44.5,9.4,0.7,1,P4
1403,1403,Redwood,Sequoia sempervirens,26.4,64.7,3.5,0.48,1,P4
1404,1404,Cedar,Cedrus libani,23.9,56.6,3.2,0.56,1,P4
1405,1405,Magnolia,Magnolia grandiflora,27.6,40.3,3.7,0.6,1,P4
1406,1406,Birch,Betula pendula,23.6,93.4,5.9,0.67,1,P4
1407,1407,Pine,Pinus sylvestris,24.6,53.3,5.4,0.45,1,P4
1409,1409,Yew,Taxus baccata,33.5,67.5,12.9,0.64,1,P4
1410,1410,Beech,Fagus sylvatica,25.8,48,5.9,0.67,1,P4
1412,1412,Beech,Fagus sylvatica,23.4,43.1,8.5,0.67,1,P4
1413,1413,Oak,Quercus robur,30,58.5,9.5,0.7,1,P4
1414,1414,Willow,Salix alba,27.5,46.1,8.8,0.47,1,P4
1415,1415,Fir,Abies alba,24.4,46.9,6.7,0.42,1,P4
1416,1416,Ash,Fraxinus excelsior,20.7,56.4,3.8,0.67,1,P4
1418,1418,Oak,Quercus robur,21.6,40.7,3.6,0.7,1,P4
1419,1419,Redwood,Sequoia sempervirens,28,55.7,7.9,0.48,1,P4
1421,1421,Spruce,Picea abies,24.3,56.3,3.3,0.43,1,P4
1422,1422,Birch,Betula pendula,34.1,58.1,5.7,0.67,1,P4
1423,1423,Hemlock,Tsuga canadensis,22.3,57.4,4.5,0.45,1,P4
1424,1424,Hemlock,Tsuga canadensis,26.5,49.1,6.7,0.45,1,P4
1425,1425,Locust,Robinia pseudoacacia,28,52.4,4.1,0.69,1,P4
1427,1427,Cedar,Cedrus libani,24.7,46.2,7,0.56,1,P4
1428,1428,Ash,Fraxinus excelsior,29.7,52,6.8,0.67,1,P4
1430,1430,Yew,Taxus baccata,26,44.9,3.5,0.64,1,P4
1431,1431,Fir,Abies alba,33.8,40.9,7,0.42,1,P4
1432,1432,Oak,Quercus robur,35.2,69.7,9.8,0.7,1,P4
1433,1433,Poplar,Populus tremula,23.7,52.6,4.6,0.42,1,P4
1434,1434,Walnut,Juglans regia,23.3,55.7,3.2,0.61,1,P4
1436,1436,Maple,Acer saccharum,26.6,43.6,3.8,0.71,1,P4
1437,1437,Redwood,Sequoia sempervirens,41.3,78.5,12.6,0.48,1,P4
1439,1439,Hemlock,Tsuga canadensis,21.7,49.9,7.8,0.45,1,P4
1440,1440,Locust,Robinia pseudoacacia,21.5,65.1,5.7,0.69,1,P4
1441,1441,Larch,Larix decidua,21.6,42.6,3.1,0.59,1,P4
1442,1442,Poplar,Populus tremula,32.8,53,12.3,0.42,1,P4
1443,1443,Cedar,Cedrus libani,23.4,48.2,8.1,0.56,1,P4
1445,1445,Pine,Pinus sylvestris,20,50.8,5.1,0.45,1,P4
1446,1446,Cherry,Prunus avium,30.1,69.5,6.9,0.72,1,P4
1448,1448,Walnut,Juglans regia,39.8,62.8,14.8,0.61,1,P4
1449,1449,Willow,Salix alba,25.7,53.9,4.2,0.47,1,P4
1450,1450,Ash,Fraxinus excelsior,25.8,45.4,4.2,0.67,1,P4
1451,1451,Yew,Taxus baccata,40.9,59.8,13,0.64,1,P4
1452,1452,Pine,Pinus sylvestris,23.5,43.7,8.3,0.45,1,P4
1454,1454,Yew,Taxus baccata,29.4,63.8,10.8,0.64,1,P4
1455,1455,Larch,Larix decidua,26.8,40.6,6.3,0.59,1,P4
1457,1457,Willow,Salix alba,34.6,40.4,7.6,0.47,1,P4
1458,1458,Beech,Fagus sylvatica,30.4,61.7,11.3,0.67,1,P4
1459,1459,Poplar,Populus tremula,29.7,42.1,8.1,0.42,1,P4
1460,1460,Maple,Acer saccharum,21.4,48,6.2,0.71,1,P4
1461,1461,Cypress,Cupressus sempervirens,29.5,62.2,4.6,0.47,1,P4
1463,1463,Larch,Larix decidua,24.3,57,3.5,0.59,1,P4
1464,1464,Locust,Robinia pseudoacacia,31,45.5,7.5,0.69,1,P4
1466,1466,Locust,Robinia pseudoacacia,26.8,44,4.7,0.69,1,P4
1467,1467,Spruce,Picea abies,23.3,40.7,3.5,0.43,1,P4
1468,1468,Pine,Pinus sylvestris,23.5,63,5.1,0.45,1,P4
1469,1469,Hemlock,Tsuga canadensis,24.2,50.1,5.3,0.45,1,P4
1470,1470,Cherry,Prunus avium,30.1,55,5.6,0.72,1,P4
1472,1472,Cypress,Cupressus sempervirens,33.4,71.2,6.7,0.47,1,P4
1473,1473,Beech,Fagus sylvatica,31.9,54.5,6.7,0.67,1,P4
1475,1475,Ash,Fraxinus excelsior,33,88.4,9.2,0.67,1,P4
1476,1476,Cherry,Prunus avium,39.3,65,10.3,0.72,1,P4
1477,1477,Spruce,Picea abies,24.9,71,8.1,0.43,1,P4
1478,1478,Beech,Fagus sylvatica,21.5,59.7,5.3,0.67,1,P4
1479,1479,Cypress,Cupressus sempervirens,32.5,90.5,9.8,0.47,1,P4
1481,1481,Cedar,Cedrus libani,30.8,67.8,8.9,0.56,1,P4
1482,1482,Pine,Pinus sylvestris,30.1,50.6,4.3,0.45,1,P4
1484,1484,Pine,Pinus sylvestris,32.2,57.8,8.7,0.45,1,P4
1485,1485,Cherry,Prunus avium,30.8,56,4.2,0.72,1,P4
1486,1486,Beech,Fagus sylvatica,29.4,42.5,7.7,0.67,1,P4
1487,1487,Pine,Pinus sylvestris,30.4,40,5.8,0.45,1,P4
1488,1488,Yew,Taxus baccata,23.8,44.1,4,0.64,1,P4
1490,1490,Willow,Salix alba,33.3,57.9,5.2,0.47,1,P4
1491,1491,Yew,Taxus baccata,21.5,56.4,8.9,0.64,1,P4
1493,1493,Magnolia,Magnolia grandiflora,24.4,47,10,0.6,1,P4
1494,1494,Yew,Taxus baccata,46.3,70.8,13.5,0.64,1,P4
1495,1495,Birch,Betula pendula,23.8,66,9.8,0.67,1,P4
1496,1496,Hemlock,Tsuga canadensis,22.6,56.4,3.2,0.45,1,P4
1497,1497,Maple,Acer saccharum,31.8,50.6,6.7,0.71,1,P4
1499,1499,Willow,Salix alba,30.1,67.8,6,0.47,1,P4
1500,1500,Ash,Fraxinus excelsior,21.6,46.4,4.5,0.67,1,P4
1502,1502,Yew,Taxus baccata,22.5,44.5,4.9,0.64,1,P4
1503,1503,Cherry,Prunus avium,22.6,76.5,5.2,0.72,1,P4
1504,1504,Yew,Taxus baccata,26.5,41.3,8.7,0.64,1,P4
1505,1505,Pine,Pinus sylvestris,28.2,68.6,7.2,0.45,1,P4
1506,1506,Hemlock,Tsuga canadensis,42,65.9,14.8,0.45,1,P4
1508,1508,Yew,Taxus baccata,28.8,50.3,8.1,0.64,1,P4
1509,1509,Redwood,Sequoia sempervirens,32.4,43.6,10,0.48,1,P4
1511,1511,Walnut,Juglans regia,22.4,54,4.1,0.61,1,P4
1512,1512,Ash,Fraxinus excelsior,31.2,78.8,9.2,0.67,1,P4
1513,1513,Willow,Salix alba,26.8,62.1,4.6,0.47,1,P4
1514,1514,Poplar,Populus tremula,33.1,43.5,11.1,0.42,1,P4
1515,1515,Spruce,Picea abies,21.6,45.3,6.6,0.43,1,P4
1517,1517,Cypress,Cupressus sempervirens,20.6,51.1,3.8,0.47,1,P4
1518,1518,Poplar,Populus tremula,22,56.3,7.5,0.42,1,P4
1520,1520,Beech,Fagus sylvatica,21.7,45.7,7.3,0.67,1,P4
1521,1521,Maple,Acer saccharum,23.3,43.8,4.1,0.71,1,P4
1522,1522,Beech,Fagus sylvatica,23.2,53.3,5.3,0.67,1,P4
1523,1523,Redwood,Sequoia sempervirens,23.6,57.2,5.1,0.48,1,P4
1524,1524,Maple,Acer saccharum,20.1,71.7,6.4,0.71,1,P4
1526,1526,Magnolia,Magnolia grandiflora,22.6,40.2,7.3,0.6,1,P4
1527,1527,Beech,Fagus sylvatica,35.4,59.9,11.4,0.67,1,P4
1529,1529,Locust,Robinia pseudoacacia,23,47.4,6.1,0.69,1,P4
1530,1530,Ash,Fraxinus excelsior,23.9,50.8,7.1,0.67,1,P4
1531,1531,Larch,Larix decidua,38.1,74.2,9.6,0.59,1,P4
1532,1532,Beech,Fagus sylvatica,24.1,61.2,4.5,0.67,1,P4
1533,1533,Spruce,Picea abies,23,43.5,5.6,0.43,1,P4
1535,1535,Cherry,Prunus avium,24.2,45.5,8,0.72,1,P4
1536,1536,Hemlock,Tsuga canadensis,25.2,67.7,7.2,0.45,1,P4
1538,1538,Birch,Betula pendula,22.4,42.4,5.9,0.67,1,P4
1539,1539,Willow,Salix alba,24.4,47.6,4.2,0.47,1,P4
1540,1540,Larch,Larix decidua,35.6,40.1,5.1,0.59,1,P4
1541,1541,Cypress,Cupressus sempervirens,30.4,56,9.1,0.47,1,P4
1542,1542,Poplar,Populus tremula,24.5,52,4.5,0.42,1,P4
1544,1544,Walnut,Juglans regia,34.8,63.6,8.9,0.61,1,P4
1545,1545,Cedar,Cedrus libani,25.8,40.4,3.8,0.56,1,P4
1547,1547,Locust,Robinia pseudoacacia,26.6,46.5,4,0.69,1,P4
1548,1548,Cedar,Cedrus libani,27.6,57.7,3.2,0.56,1,P4
1549,1549,Maple,Acer saccharum,35.1,67.4,9.9,0.71,1,P4
1550,1550,Walnut,Juglans regia,22.5,40.5,3.4,0.61,1,P4
1551,1551,Pine,Pinus sylvestris,20.4,40.9,3.7,0.45,1,P4
1553,1553,Larch,Larix decidua,33.5,50.1,7.9,0.59,1,P4
1554,1554,Beech,Fagus sylvatica,32.6,54.5,6.1,0.67,1,P4
1556,1556,Cherry,Prunus avium,32.9,73.1,6.1,0.72,1,P5
1557,1557,Pine,Pinus sylvestris,28.2,44.1,3.6,0.45,1,P5
1558,1558,Maple,Acer saccharum,28.2,63,8.5,0.71,1,P5
1559,1559,Maple,Acer saccharum,29.1,68.4,5.8,0.71,1,P5
1560,1560,Willow,Salix alba,20.8,53.1,7.5,0.47,1,P5
1562,1562,Pine,Pinus sylvestris,34.8,54.4,5.6,0.45,1,P5
1563,1563,Larch,Larix decidua,21,40.8,3.2,0.59,1,P5
1565,1565,Cypress,Cupressus sempervirens,24.5,54.4,4.4,0.47,1,P5
1566,1566,Redwood,Sequoia sempervirens,30.6,60.1,8.6,0.48,1,P5
1567,1567,Spruce,Picea abies,24.1,63.7,7.7,0.43,1,P5
1568,1568,Locust,Robinia pseudoacacia,20.4,47.6,4.6,0.69,1,P5
1569,1569,Cedar,Cedrus libani,21.7,44.9,6,0.56,1,P5
1571,1571,Larch,Larix decidua,31.5,73.3,7.2,0.59,1,P5
1572,1572,Magnolia,Magnolia grandiflora,24.4,64.3,4.4,0.6,1,P5
1574,1574,Ash,Fraxinus excelsior,28.5,47.2,9,0.67,1,P5
1575,1575,Poplar,Populus tremula,34.8,64.7,11.3,0.42,1,P5
1576,1576,Oak,Quercus robur,25.8,47.9,9.5,0.7,1,P5
1577,1577,Spruce,Picea abies,22.7,52.6,4.9,0.43,1,P5
1578,1578,Birch,Betula pendula,26.9,42.4,3.1,0.67,1,P5
