S/N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
928,Cypress,Cupressus sempervirens,22.0,43.8,3.7,0.47,1,P3
929,Fir,Abies alba,42.2,95.4,12.4,0.42,1,P3
930,Cherry,Prunus avium,23.6,61.9,4.3,0.72,1,P3
931,Spruce,Picea abies,23.1,52.2,4.2,0.43,1,P3
932,Magnolia,Magnolia grandiflora,29.8,80.1,6.6,0.6,1,P3
933,Redwood,Sequoia sempervirens,23.9,61.4,6.3,0.48,1,P3
934,Willow,Salix alba,20.2,52.8,3.0,0.47,1,P3
935,Maple,Acer saccharum,24.2,56.6,5.1,0.71,1,P3
936,Yew,Taxus baccata,26.5,55.1,3.9,0.64,1,P3
937,Poplar,Populus tremula,24.5,50.3,7.7,0.42,1,P3
938,Willow,Salix alba,25.1,55.8,6.5,0.47,1,P3
939,Ash,Fraxinus excelsior,29.4,41.5,5.3,0.67,1,P3
940,Beech,Fagus sylvatica,28.0,57.1,13.7,0.67,1,P3
941,Walnut,Juglans regia,27.4,60.6,8.7,0.61,1,P3
942,Fir,Abies alba,29.5,45.3,4.4,0.42,1,P3
943,Cedar,Cedrus libani,33.2,79.4,9.9,0.56,1,P3
944,Oak,Quercus robur,29.3,60.3,4.9,0.7,1,P3
945,Maple,Acer saccharum,21.2,58.5,4.1,0.71,1,P3
946,Hemlock,Tsuga canadensis,20.4,46.4,5.8,0.45,1,P3
947,Maple,Acer saccharum,22.0,58.7,6.6,0.71,1,P3
948,Willow,Salix alba,29.8,93.2,12.6,0.47,1,P3
949,Larch,Larix decidua,25.0,43.5,3.3,0.59,1,P3
950,Magnolia,Magnolia grandiflora,28.5,51.5,12.7,0.6,1,P3
951,Walnut,Juglans regia,20.3,52.5,4.3,0.61,1,P3
952,Magnolia,Magnolia grandiflora,30.4,61.2,6.4,0.6,1,P3
953,Spruce,Picea abies,26.4,47.7,3.8,0.43,1,P3
954,Redwood,Sequoia sempervirens,21.0,44.3,4.7,0.48,1,P3
955,Spruce,Picea abies,31.9,56.0,8.3,0.43,1,P3
956,Oak,Quercus robur,35.4,64.6,11.5,0.7,1,P3
957,Maple,Acer saccharum,20.6,40.5,6.5,0.71,1,P3
958,Beech,Fagus sylvatica,22.4,48.3,4.0,0.67,1,P3
959,Walnut,Juglans regia,31.1,74.6,8.4,0.61,1,P3
960,Cedar,Cedrus libani,33.2,60.2,4.4,0.56,1,P3
961,Maple,Acer saccharum,30.6,48.9,6.2,0.71,1,P3
962,Ash,Fraxinus excelsior,38.8,88.9,13.1,0.67,1,P3
963,Willow,Salix alba,24.9,54.5,4.1,0.47,1,P3
964,Yew,Taxus baccata,22.3,40.4,3.6,0.64,1,P3
965,Maple,Acer saccharum,21.3,51.9,6.7,0.71,1,P3
966,Ash,Fraxinus excelsior,26.3,46.0,3.8,0.67,1,P3
967,Yew,Taxus baccata,36.3,76.4,11.2,0.64,1,P3
968,Cedar,Cedrus libani,31.2,87.4,8.7,0.56,1,P3
969,Larch,Larix decidua,21.5,41.6,3.7,0.59,1,P3
970,Walnut,Juglans regia,25.6,54.4,4.6,0.61,1,P3
971,Hemlock,Tsuga canadensis,20.1,47.2,4.0,0.45,1,P3
972,Cherry,Prunus avium,34.9,90.1,12.2,0.72,1,P3
973,Cherry,Prunus avium,31.7,59.2,13.0,0.72,1,P3
974,Cedar,Cedrus libani,32.6,57.3,7.5,0.56,1,P3
975,Beech,Fagus sylvatica,29.6,48.8,9.6,0.67,1,P3
976,Larch,Larix decidua,33.2,67.4,4.7,0.59,1,P3
977,Beech,Fagus sylvatica,36.2,44.8,4.5,0.67,1,P3
978,Ash,Fraxinus excelsior,21.5,62.3,6.7,0.67,1,P3
979,Magnolia,Magnolia grandiflora,24.5,57.0,5.1,0.6,1,P3
980,Beech,Fagus sylvatica,20.5,49.4,3.1,0.67,1,P3
981,Poplar,Populus tremula,44.5,73.3,14.1,0.42,1,P3
982,Oak,Quercus robur,35.7,42.0,10.1,0.7,1,P3
983,Cedar,Cedrus libani,23.9,41.0,5.0,0.56,1,P3
984,Maple,Acer saccharum,23.9,63.1,3.6,0.71,1,P3
985,Fir,Abies alba,34.7,64.3,10.4,0.42,1,P3
986,Magnolia,Magnolia grandiflora,29.3,54.5,5.3,0.6,1,P3
987,Locust,Robinia pseudoacacia,23.2,52.6,3.3,0.69,1,P3
988,Beech,Fagus sylvatica,36.2,55.7,4.4,0.67,1,P3
989,Locust,Robinia pseudoacacia,29.9,59.5,7.8,0.69,1,P3
990,Locust,Robinia pseudoacacia,36.1,65.8,11.3,0.69,1,P3
991,Magnolia,Magnolia grandiflora,30.8,41.2,7.1,0.6,1,P3
992,Fir,Abies alba,27.7,55.8,10.1,0.42,1,P3
993,Maple,Acer saccharum,26.1,44.5,5.0,0.71,1,P3
994,Hemlock,Tsuga canadensis,26.1,44.8,4.4,0.45,1,P3
995,Spruce,Picea abies,21.6,61.7,12.0,0.43,1,P3
996,Larch,Larix decidua,25.1,49.5,6.8,0.59,1,P3
997,Birch,Betula pendula,26.9,81.1,4.1,0.67,1,P3
998,Locust,Robinia pseudoacacia,36.2,61.1,8.2,0.69,1,P3
999,Redwood,Sequoia sempervirens,22.0,54.0,5.8,0.48,1,P3
1000,Locust,Robinia pseudoacacia,27.5,45.5,4.8,0.69,1,P3
1001,Magnolia,Magnolia grandiflora,28.5,53.5,9.1,0.6,1,P3
1002,Beech,Fagus sylvatica,31.1,65.2,5.4,0.67,1,P3
1003,Cherry,Prunus avium,20.7,44.1,4.7,0.72,1,P3
1004,Fir,Abies alba,25.3,42.6,3.3,0.42,1,P3
1005,Oak,Quercus robur,41.6,93.4,14.0,0.7,1,P3
1006,Larch,Larix decidua,30.8,62.6,6.3,0.59,1,P3
1007,Beech,Fagus sylvatica,24.6,41.6,3.7,0.67,1,P3
1008,Walnut,Juglans regia,40.3,74.2,17.7,0.61,1,P3
1009,Locust,Robinia pseudoacacia,23.2,59.5,6.1,0.69,1,P3
1010,Beech,Fagus sylvatica,29.6,46.5,5.9,0.67,1,P3
1011,Ash,Fraxinus excelsior,44.5,87.1,17.6,0.67,1,P3
1012,Locust,Robinia pseudoacacia,44.1,100.2,15.0,0.69,1,P3
1013,Cedar,Cedrus libani,31.2,60.4,9.1,0.56,1,P3
1014,Spruce,Picea abies,23.7,45.3,6.3,0.43,1,P3
1015,Locust,Robinia pseudoacacia,20.4,49.1,3.5,0.69,1,P3
1016,Ash,Fraxinus excelsior,23.8,47.8,5.6,0.67,1,P3
1017,Walnut,Juglans regia,22.2,49.4,3.3,0.61,1,P3
1018,Fir,Abies alba,29.5,62.9,10.0,0.42,1,P3
1019,Beech,Fagus sylvatica,27.0,45.8,4.1,0.67,1,P3
1020,Magnolia,Magnolia grandiflora,38.5,70.8,10.1,0.6,1,P3
1021,Ash,Fraxinus excelsior,21.7,61.8,5.3,0.67,1,P3
1022,Larch,Larix decidua,23.3,47.5,5.1,0.59,1,P3
1023,Beech,Fagus sylvatica,34.3,64.4,9.0,0.67,1,P3
1024,Birch,Betula pendula,28.3,52.5,8.1,0.67,1,P3
1025,Ash,Fraxinus excelsior,33.8,62.2,13.3,0.67,1,P3
1026,Locust,Robinia pseudoacacia,23.7,44.9,5.5,0.69,1,P3
1027,Birch,Betula pendula,36.0,70.0,10.3,0.67,1,P3
1028,Yew,Taxus baccata,31.4,73.2,8.6,0.64,1,P3
1029,Oak,Quercus robur,25.9,42.7,5.1,0.7,1,P3
1030,Willow,Salix alba,24.1,57.3,6.6,0.47,1,P3
1031,Fir,Abies alba,33.3,58.5,8.2,0.42,1,P3
1032,Walnut,Juglans regia,22.0,47.2,4.4,0.61,1,P3
1033,Spruce,Picea abies,31.4,66.8,3.7,0.43,1,P3
1034,Maple,Acer saccharum,25.2,43.1,5.9,0.71,1,P3
1035,Redwood,Sequoia sempervirens,36.6,41.5,7.1,0.48,1,P3
1036,Cedar,Cedrus libani,27.6,65.1,8.6,0.56,1,P3
1037,Poplar,Populus tremula,20.0,49.6,4.3,0.42,1,P3
1038,Beech,Fagus sylvatica,32.6,43.9,4.5,0.67,1,P3
1039,Locust,Robinia pseudoacacia,21.5,45.9,3.1,0.69,1,P3
1040,Locust,Robinia pseudoacacia,37.9,74.4,10.5,0.69,1,P3
1041,Larch,Larix decidua,25.5,71.3,6.6,0.59,1,P3
1042,Cypress,Cupressus sempervirens,29.5,53.1,3.2,0.47,1,P3
1043,Magnolia,Magnolia grandiflora,22.6,57.9,4.9,0.6,1,P3
1044,Redwood,Sequoia sempervirens,25.2,40.5,3.8,0.48,1,P3
1045,Willow,Salix alba,20.0,58.1,5.0,0.47,1,P3
1046,Beech,Fagus sylvatica,25.0,57.8,10.2,0.67,1,P3
1047,Poplar,Populus tremula,32.6,65.1,8.5,0.42,1,P3
1048,Cypress,Cupressus sempervirens,23.8,63.4,3.9,0.47,1,P3
1049,Cedar,Cedrus libani,38.0,71.9,10.1,0.56,1,P3
1050,Hemlock,Tsuga canadensis,25.2,47.7,4.6,0.45,1,P3
1051,Willow,Salix alba,22.7,44.8,5.0,0.47,1,P3
1052,Fir,Abies alba,21.1,47.0,4.5,0.42,1,P3
1053,Magnolia,Magnolia grandiflora,26.2,52.4,3.2,0.6,1,P3
1054,Birch,Betula pendula,24.9,69.2,6.5,0.67,1,P3
1055,Beech,Fagus sylvatica,29.5,72.0,6.2,0.67,1,P3
1056,Cypress,Cupressus sempervirens,25.3,58.4,3.8,0.47,1,P3
1057,Pine,Pinus sylvestris,27.5,51.5,7.5,0.45,1,P3
1058,Ash,Fraxinus excelsior,20.3,44.0,3.1,0.67,1,P3
1059,Larch,Larix decidua,25.2,46.4,8.7,0.59,1,P3
1060,Cedar,Cedrus libani,22.1,58.2,5.1,0.56,1,P3
1061,Cedar,Cedrus libani,33.2,69.1,9.6,0.56,1,P3
1062,Locust,Robinia pseudoacacia,30.1,44.0,5.3,0.69,1,P3
1063,Poplar,Populus tremula,25.7,52.8,12.4,0.42,1,P3
1064,Beech,Fagus sylvatica,28.0,49.4,11.0,0.67,1,P3
1065,Spruce,Picea abies,25.8,49.8,4.7,0.43,1,P3
1066,Beech,Fagus sylvatica,21.7,68.9,8.5,0.67,1,P3
1067,Walnut,Juglans regia,29.2,50.9,10.7,0.61,1,P3
1068,Maple,Acer saccharum,27.3,51.6,3.3,0.71,1,P3
1069,Redwood,Sequoia sempervirens,22.4,45.0,4.0,0.48,1,P3
1070,Hemlock,Tsuga canadensis,31.9,83.9,10.7,0.45,1,P3
1071,Redwood,Sequoia sempervirens,23.5,49.6,6.3,0.48,1,P3
1072,Redwood,Sequoia sempervirens,20.4,48.3,6.3,0.48,1,P3
1073,Willow,Salix alba,26.2,64.6,8.0,0.47,1,P3
1074,Spruce,Picea abies,28.2,57.2,3.5,0.43,1,P3
1075,Beech,Fagus sylvatica,23.2,43.9,8.5,0.67,1,P3
1076,Maple,Acer saccharum,25.4,49.1,8.8,0.71,1,P3
1077,Cypress,Cupressus sempervirens,23.9,52.3,5.1,0.47,1,P3
1078,Birch,Betula pendula,20.4,52.6,4.3,0.67,1,P3
1079,Maple,Acer saccharum,23.0,48.8,5.3,0.71,1,P3
1080,Cypress,Cupressus sempervirens,32.0,43.5,6.1,0.47,1,P3
1081,Locust,Robinia pseudoacacia,40.2,71.2,11.3,0.69,1,P3
1082,Yew,Taxus baccata,20.7,44.1,8.3,0.64,1,P3
1083,Beech,Fagus sylvatica,23.2,41.6,4.2,0.67,1,P3
1084,Pine,Pinus sylvestris,36.6,84.5,6.9,0.45,1,P3
1085,Yew,Taxus baccata,24.8,70.6,3.9,0.64,1,P3
1086,Ash,Fraxinus excelsior,28.7,75.4,4.0,0.67,1,P3
1087,Fir,Abies alba,26.8,40.5,12.1,0.42,1,P3
1088,Poplar,Populus tremula,25.6,51.1,10.2,0.42,1,P3
1089,Willow,Salix alba,25.2,55.4,3.3,0.47,1,P3
1090,Locust,Robinia pseudoacacia,33.0,72.4,12.6,0.69,1,P3
1091,Birch,Betula pendula,35.8,75.6,10.6,0.67,1,P3
1092,Poplar,Populus tremula,47.4,80.7,11.8,0.42,1,P3
1093,Pine,Pinus sylvestris,21.5,53.1,6.9,0.45,1,P3
1094,Cherry,Prunus avium,32.1,54.0,7.4,0.72,1,P3
1095,Hemlock,Tsuga canadensis,27.5,60.1,3.1,0.45,1,P3
1096,Birch,Betula pendula,24.8,45.6,5.3,0.67,1,P3
1097,Walnut,Juglans regia,29.1,58.8,6.3,0.61,1,P3
1098,Larch,Larix decidua,33.6,51.7,7.5,0.59,1,P3
1099,Cherry,Prunus avium,25.0,50.8,4.5,0.72,1,P3
1100,Cypress,Cupressus sempervirens,23.3,50.0,3.8,0.47,1,P3
1101,Willow,Salix alba,29.7,62.3,5.2,0.47,1,P3
1102,Cypress,Cupressus sempervirens,25.6,58.5,6.7,0.47,1,P3
1103,Yew,Taxus baccata,28.3,45.6,10.4,0.64,1,P3
1104,Redwood,Sequoia sempervirens,29.8,57.4,13.1,0.48,1,P3
1105,Larch,Larix decidua,20.5,58.5,5.1,0.59,1,P3
1106,Magnolia,Magnolia grandiflora,20.5,48.4,5.0,0.6,1,P3
1107,Willow,Salix alba,26.4,40.4,13.5,0.47,1,P3
1108,Cypress,Cupressus sempervirens,23.1,50.7,5.2,0.47,1,P3
1109,Redwood,Sequoia sempervirens,30.3,61.1,10.8,0.48,1,P3
1110,Redwood,Sequoia sempervirens,20.0,44.4,4.2,0.48,1,P3
1111,Hemlock,Tsuga canadensis,22.9,63.8,4.3,0.45,1,P3
1112,Locust,Robinia pseudoacacia,30.7,53.3,7.5,0.69,1,P3
1113,Ash,Fraxinus excelsior,34.7,89.3,16.9,0.67,1,P3
1114,Spruce,Picea abies,27.6,52.8,8.7,0.43,1,P3
1115,Willow,Salix alba,31.7,67.4,4.8,0.47,1,P3
1116,Redwood,Sequoia sempervirens,28.9,48.9,7.7,0.48,1,P3
1117,Magnolia,Magnolia grandiflora,20.9,40.5,3.7,0.6,1,P3
1118,Birch,Betula pendula,22.3,50.3,5.6,0.67,1,P3
1119,Larch,Larix decidua,33.1,76.8,9.0,0.59,1,P3
1120,Oak,Quercus robur,34.7,76.5,14.3,0.7,1,P3
1121,Magnolia,Magnolia grandiflora,24.6,44.6,10.7,0.6,1,P3
1122,Birch,Betula pendula,35.1,51.7,12.3,0.67,1,P3
1123,Spruce,Picea abies,36.0,74.5,5.5,0.43,1,P3
1124,Cherry,Prunus avium,22.5,46.6,5.3,0.72,1,P3
1125,Yew,Taxus baccata,27.5,41.4,6.8,0.64,1,P3
1126,Cherry,Prunus avium,47.1,97.8,18.9,0.72,1,P3
1127,Willow,Salix alba,23.1,41.5,3.5,0.47,1,P3
1128,Oak,Quercus robur,30.4,42.3,4.3,0.7,1,P3
1129,Hemlock,Tsuga canadensis,22.1,58.7,4.6,0.45,1,P3
1130,Spruce,Picea abies,40.2,57.6,10.0,0.43,1,P3
1131,Oak,Quercus robur,28.6,42.2,5.9,0.7,1,P3
1132,Larch,Larix decidua,20.5,46.9,3.1,0.59,1,P3
1133,Maple,Acer saccharum,23.3,52.1,4.8,0.71,1,P3
1134,Willow,Salix alba,32.6,43.0,10.9,0.47,1,P3
1135,Oak,Quercus robur,27.4,57.1,9.2,0.7,1,P3
1136,Yew,Taxus baccata,24.9,48.4,12.2,0.64,1,P3
1137,Locust,Robinia pseudoacacia,28.1,66.7,3.2,0.69,1,P3
1138,Hemlock,Tsuga canadensis,37.4,57.9,7.6,0.45,1,P3
1139,Cherry,Prunus avium,29.1,64.9,14.1,0.72,1,P3
1140,Cedar,Cedrus libani,21.5,41.4,4.0,0.56,1,P3
1141,Fir,Abies alba,22.7,63.3,5.2,0.42,1,P3
1142,Oak,Quercus robur,21.1,41.1,6.7,0.7,1,P3
1143,Yew,Taxus baccata,22.8,41.7,5.8,0.64,1,P3
1144,Ash,Fraxinus excelsior,24.0,41.3,3.4,0.67,1,P3
1145,Walnut,Juglans regia,21.3,41.1,6.1,0.61,1,P3
1146,Birch,Betula pendula,24.5,45.9,9.6,0.67,1,P3
1147,Yew,Taxus baccata,29.6,71.0,3.9,0.64,1,P3
1148,Birch,Betula pendula,27.7,63.1,9.9,0.67,1,P3
1149,Larch,Larix decidua,29.3,41.8,5.4,0.59,1,P3
1150,Yew,Taxus baccata,26.7,50.7,4.9,0.64,1,P3
1151,Redwood,Sequoia sempervirens,20.4,50.7,6.2,0.48,1,P3
1152,Birch,Betula pendula,33.2,41.1,9.8,0.67,1,P3
1153,Locust,Robinia pseudoacacia,25.2,64.5,3.5,0.69,1,P3
1154,Cherry,Prunus avium,20.9,45.5,4.5,0.72,1,P3
1155,Magnolia,Magnolia grandiflora,28.8,61.3,12.7,0.6,1,P3
1156,Poplar,Populus tremula,22.1,41.6,4.0,0.42,1,P3
1157,Yew,Taxus baccata,25.1,51.1,7.7,0.64,1,P3
1158,Beech,Fagus sylvatica,20.2,47.3,5.2,0.67,1,P3
1159,Larch,Larix decidua,27.3,77.2,6.5,0.59,1,P3
1160,Beech,Fagus sylvatica,27.3,63.6,5.0,0.67,1,P3
1161,Locust,Robinia pseudoacacia,26.1,46.4,8.5,0.69,1,P3
1162,Cherry,Prunus avium,22.0,54.7,5.0,0.72,1,P3
1163,Locust,Robinia pseudoacacia,20.1,63.6,9.9,0.69,1,P3
1164,Ash,Fraxinus excelsior,26.0,41.9,5.0,0.67,1,P3
1165,Maple,Acer saccharum,24.7,55.0,5.9,0.71,1,P3
1166,Spruce,Picea abies,34.1,68.5,16.8,0.43,1,P3
1167,Locust,Robinia pseudoacacia,21.6,49.1,4.8,0.69,1,P3
1168,Oak,Quercus robur,35.5,50.3,3.0,0.7,1,P3
1169,Redwood,Sequoia sempervirens,31.4,60.7,9.9,0.48,1,P3
1170,Willow,Salix alba,34.8,62.4,10.4,0.47,1,P3
1171,Yew,Taxus baccata,25.0,50.1,3.2,0.64,1,P3
1172,Redwood,Sequoia sempervirens,36.2,65.7,6.9,0.48,1,P3
1173,Walnut,Juglans regia,32.3,42.6,9.3,0.61,1,P3
1174,Cedar,Cedrus libani,26.2,43.2,3.1,0.56,1,P3
1175,Ash,Fraxinus excelsior,24.1,51.4,3.7,0.67,1,P3
1176,Spruce,Picea abies,32.0,44.5,6.4,0.43,1,P3
1177,Pine,Pinus sylvestris,24.2,60.9,3.6,0.45,1,P3
1178,Locust,Robinia pseudoacacia,28.4,66.8,5.5,0.69,1,P3
1179,Pine,Pinus sylvestris,36.8,72.5,11.0,0.45,1,P3
1180,Cypress,Cupressus sempervirens,25.3,45.9,9.6,0.47,1,P3
1181,Hemlock,Tsuga canadensis,23.8,45.2,4.1,0.45,1,P3
1182,Spruce,Picea abies,25.8,54.3,6.3,0.43,1,P3
1183,Ash,Fraxinus excelsior,24.2,42.6,6.5,0.67,1,P3
1184,Cypress,Cupressus sempervirens,21.7,48.4,6.6,0.47,1,P3
1185,Cherry,Prunus avium,25.7,40.1,8.5,0.72,1,P3
1186,Yew,Taxus baccata,29.0,67.5,7.8,0.64,1,P3
1187,Ash,Fraxinus excelsior,30.7,41.5,9.3,0.67,1,P3
1188,Walnut,Juglans regia,21.7,58.8,3.5,0.61,1,P3
1189,Walnut,Juglans regia,34.5,56.1,11.5,0.61,1,P3
1190,Pine,Pinus sylvestris,36.3,79.8,15.3,0.45,1,P3
1191,Ash,Fraxinus excelsior,29.4,52.0,6.4,0.67,1,P3
1192,Redwood,Sequoia sempervirens,37.3,81.0,12.6,0.48,1,P3
1193,Pine,Pinus sylvestris,34.0,96.7,12.2,0.45,1,P3
1194,Ash,Fraxinus excelsior,23.3,43.3,3.4,0.67,1,P3
1195,Beech,Fagus sylvatica,25.5,60.3,7.1,0.67,1,P3
1196,Birch,Betula pendula,21.1,41.4,5.5,0.67,1,P3
1197,Cedar,Cedrus libani,23.0,58.1,6.0,0.56,1,P3
1198,Hemlock,Tsuga canadensis,37.6,52.7,11.0,0.45,1,P3
1199,Birch,Betula pendula,23.7,60.5,7.2,0.67,1,P3
1200,Maple,Acer saccharum,20.8,45.6,6.4,0.71,1,P3
1201,Oak,Quercus robur,24.9,44.3,8.0,0.7,1,P3
1202,Redwood,Sequoia sempervirens,23.1,56.6,7.8,0.48,1,P3
1203,Beech,Fagus sylvatica,28.2,61.4,5.3,0.67,1,P3
1204,Poplar,Populus tremula,21.7,57.0,8.3,0.42,1,P3
1205,Cherry,Prunus avium,30.0,57.5,3.8,0.72,1,P3
1206,Redwood,Sequoia sempervirens,33.9,55.8,7.1,0.48,1,P3
1207,Oak,Quercus robur,32.7,58.3,5.6,0.7,1,P3
1208,Beech,Fagus sylvatica,33.1,65.5,5.3,0.67,1,P3
1209,Locust,Robinia pseudoacacia,24.3,42.5,7.0,0.69,1,P3
1210,Poplar,Populus tremula,27.3,49.2,5.0,0.42,1,P3
1211,Walnut,Juglans regia,21.1,47.2,4.6,0.61,1,P3
1212,Spruce,Picea abies,23.8,58.9,3.7,0.43,1,P3
1213,Spruce,Picea abies,23.7,48.5,3.3,0.43,1,P3
1214,Maple,Acer saccharum,30.0,59.1,10.2,0.71,1,P3
1215,Spruce,Picea abies,22.4,41.1,3.4,0.43,1,P3
1216,Maple,Acer saccharum,34.2,55.8,3.2,0.71,1,P3
1217,Cypress,Cupressus sempervirens,39.0,88.9,11.3,0.47,1,P3
1218,Maple,Acer saccharum,37.8,60.8,9.4,0.71,1,P3
1219,Cherry,Prunus avium,38.9,61.5,4.0,0.72,1,P3
1220,Locust,Robinia pseudoacacia,34.7,74.1,9.0,0.69,1,P3
1221,Magnolia,Magnolia grandiflora,26.6,41.3,5.8,0.6,1,P3
1222,Pine,Pinus sylvestris,27.1,48.9,11.0,0.45,1,P3
1223,Cherry,Prunus avium,40.4,66.3,16.1,0.72,1,P3
1224,Willow,Salix alba,27.3,50.7,5.5,0.47,1,P3
1225,Birch,Betula pendula,24.7,43.2,5.2,0.67,1,P3
1226,Maple,Acer saccharum,30.7,55.4,5.5,0.71,1,P3
1227,Birch,Betula pendula,31.5,58.0,7.9,0.67,1,P3
1228,Magnolia,Magnolia grandiflora,36.2,43.2,10.0,0.6,1,P3
1229,Cypress,Cupressus sempervirens,22.0,52.6,4.4,0.47,1,P3
1230,Walnut,Juglans regia,29.8,44.7,4.2,0.61,1,P3
1231,Magnolia,Magnolia grandiflora,26.9,69.3,4.0,0.6,1,P3
1232,Walnut,Juglans regia,38.7,73.4,12.2,0.61,1,P3
1233,Redwood,Sequoia sempervirens,26.1,40.1,3.9,0.48,1,P3
1234,Yew,Taxus baccata,33.6,66.8,14.7,0.64,1,P3
1235,Birch,Betula pendula,22.3,49.1,3.6,0.67,1,P3
1236,Cherry,Prunus avium,40.6,81.6,8.9,0.72,1,P3
1237,Cypress,Cupressus sempervirens,26.6,47.4,3.9,0.47,1,P3
1238,Cypress,Cupressus sempervirens,24.0,41.3,7.1,0.47,1,P3
1239,Oak,Quercus robur,24.9,42.7,9.3,0.7,1,P3
1240,Hemlock,Tsuga canadensis,32.7,57.3,6.2,0.45,1,P3
1241,Spruce,Picea abies,25.6,68.7,3.1,0.43,1,P3
1242,Larch,Larix decidua,24.3,54.5,8.4,0.59,1,P3
1243,Poplar,Populus tremula,31.9,64.2,10.7,0.42,1,P3
1244,Maple,Acer saccharum,27.5,69.6,3.4,0.71,1,P3
1245,Redwood,Sequoia sempervirens,25.3,62.1,3.9,0.48,1,P3
1246,Poplar,Populus tremula,24.0,50.4,7.4,0.42,1,P3
1247,Magnolia,Magnolia grandiflora,25.9,45.1,4.8,0.6,1,P3
1248,Fir,Abies alba,23.6,44.6,7.7,0.42,1,P3
1249,Birch,Betula pendula,32.8,60.0,11.0,0.67,1,P3
1250,Cypress,Cupressus sempervirens,24.7,49.9,3.5,0.47,1,P3
1251,Walnut,Juglans regia,30.6,60.1,7.2,0.61,1,P3
1252,Larch,Larix decidua,23.4,56.1,5.9,0.59,1,P3
1253,Yew,Taxus baccata,24.3,60.4,4.3,0.64,1,P3
1254,Hemlock,Tsuga canadensis,27.0,41.8,5.2,0.45,1,P3
1255,Oak,Quercus robur,27.7,79.6,7.1,0.7,1,P3
1256,Beech,Fagus sylvatica,31.8,58.4,6.3,0.67,1,P3
1257,Birch,Betula pendula,25.9,52.7,12.2,0.67,1,P3
1258,Oak,Quercus robur,31.4,42.8,6.0,0.7,1,P3
1259,Fir,Abies alba,20.4,50.1,3.7,0.42,1,P3
1260,Spruce,Picea abies,27.9,44.2,9.2,0.43,1,P3
1261,Fir,Abies alba,29.0,60.6,3.6,0.42,1,P3
1262,Magnolia,Magnolia grandiflora,26.9,46.5,8.3,0.6,1,P3
1263,Larch,Larix decidua,20.2,45.9,5.3,0.59,1,P3
1264,Larch,Larix decidua,23.7,46.5,3.8,0.59,1,P3
1265,Oak,Quercus robur,23.2,48.6,3.5,0.7,1,P3
1266,Ash,Fraxinus excelsior,28.5,57.6,9.0,0.67,1,P3
1267,Yew,Taxus baccata,23.3,57.1,3.0,0.64,1,P3
1268,Spruce,Picea abies,31.0,75.6,8.4,0.43,1,P3
1269,Larch,Larix decidua,22.7,49.4,3.8,0.59,1,P3
1270,Fir,Abies alba,30.6,82.8,3.5,0.42,1,P3
1271,Fir,Abies alba,28.6,57.8,6.4,0.42,1,P3
1272,Magnolia,Magnolia grandiflora,23.4,57.0,5.5,0.6,1,P3
1273,Oak,Quercus robur,26.1,40.5,5.8,0.7,1,P3
1274,Larch,Larix decidua,23.0,48.0,3.3,0.59,1,P3
1275,Birch,Betula pendula,22.2,45.1,7.0,0.67,1,P3
1276,Pine,Pinus sylvestris,20.8,45.9,7.3,0.45,1,P3
1277,Willow,Salix alba,20.8,46.0,5.6,0.47,1,P3
1278,Ash,Fraxinus excelsior,28.5,46.4,10.2,0.67,1,P3
1279,Magnolia,Magnolia grandiflora,24.7,49.4,4.4,0.6,1,P3
1280,Yew,Taxus baccata,24.0,60.9,5.2,0.64,1,P3
1281,Walnut,Juglans regia,21.0,63.9,4.3,0.61,1,P3
1282,Hemlock,Tsuga canadensis,23.1,49.6,5.1,0.45,1,P3
1283,Yew,Taxus baccata,20.5,46.9,6.0,0.64,1,P3
1284,Cypress,Cupressus sempervirens,41.1,82.2,13.8,0.47,1,P3
1285,Larch,Larix decidua,33.4,65.7,8.7,0.59,1,P3
1286,Ash,Fraxinus excelsior,20.4,48.1,6.3,0.67,1,P3
1287,Magnolia,Magnolia grandiflora,21.5,44.3,4.9,0.6,1,P3
1288,Locust,Robinia pseudoacacia,33.0,66.1,6.5,0.69,1,P3
1289,Larch,Larix decidua,39.3,78.0,11.3,0.59,1,P3
1290,Magnolia,Magnolia grandiflora,21.5,50.2,4.6,0.6,1,P3
1291,Willow,Salix alba,27.7,41.0,8.4,0.47,1,P3
1292,Walnut,Juglans regia,33.6,81.3,10.4,0.61,1,P3
1293,Walnut,Juglans regia,24.5,51.9,3.1,0.61,1,P3
1294,Ash,Fraxinus excelsior,34.5,58.4,11.7,0.67,1,P3
1295,Ash,Fraxinus excelsior,24.1,48.2,6.0,0.67,1,P3
1296,Maple,Acer saccharum,21.0,59.7,5.8,0.71,1,P3
1297,Cherry,Prunus avium,21.6,40.1,6.7,0.72,1,P3
1298,Poplar,Populus tremula,27.7,54.4,7.6,0.42,1,P3
1299,Maple,Acer saccharum,20.6,60.7,7.1,0.71,1,P3
1300,Hemlock,Tsuga canadensis,30.2,52.3,7.3,0.45,1,P3
1301,Willow,Salix alba,25.3,55.2,6.9,0.47,1,P3
1302,Locust,Robinia pseudoacacia,25.8,50.5,7.1,0.69,1,P3
1303,Poplar,Populus tremula,28.2,57.3,10.5,0.42,1,P3
1304,Cherry,Prunus avium,22.6,57.9,3.9,0.72,1,P3
